Country,HappinessScore,GDI,LifeExDiff,FemaleParliament,MaternalMort,SchoolingDiff,EmployDiscrimination
Afghanistan,3.632,0.659,6.535,27.7,638,-4.8,0
Albania,4.586,0.967,4.571,27.9,15,1.5,1
Algeria,5.295,0.858,2.239,25.8,112,0.4,0
Angola,3.795,0.903,5.135,30.5,241,-1.7,1
Argentina,6.388,0.993,6.698,38.9,39,2.5,1
Armenia,4.321,0.982,9.609,18.1,26,1,1
Australia,7.272,0.976,4.2,28.7,6,0.9,1
Austria,7.139,0.964,4.7,30.6,5,0.6,1
Azerbaijan,5.201,0.943,6.015,16.8,26,0.2,1
Bahrain,6.105,0.922,2.379,7.5,14,0.6,1
Bangladesh,4.5,0.904,3.457,20.3,173,0.8,0
Belarus,5.483,1.007,10.2,34.5,2,0.5,1
Belgium,6.927,0.974,4.5,38,5,1.9,1
Benin,4.141,0.855,2.438,7.2,397,-2.4,1
Bhutan,5.082,0.921,3.312,8.5,183,0.7,1
Bolivia,5.752,0.945,5.104,53.1,155,0,0
Bosnia and Herzegovina,5.129,0.937,4.059,21.4,10,0.6,1
Botswana,3.59,0.998,4.035,9.5,144,0.3,0
Brazil,6.419,0.993,6.31,10.7,60,0.7,1
Bulgaria,4.933,0.995,7.1,19.2,10,0.4,1
Burkina Faso,4.424,0.867,3.416,11,320,-0.3,1
Burundi,2.905,0.999,3.703,36.4,548,-0.1,1
Cambodia,4.433,0.922,4.552,20.3,160,-0.9,1
Cameroon,4.975,0.864,3.181,31.1,529,-1.6,1
Canada,7.328,0.986,4.2,26.3,10,1,1
Central African Republic,3.083,0.801,4.302,8.6,829,-2.7,1
Chad,4.301,0.764,2.945,12.8,1140,-2.9,1
Chile,6.476,0.963,4.843,15.8,13,0.5,1
China,5.246,0.957,5.591,24.2,29,0,1
Colombia,6.26,0.989,5.818,18.7,83,0.6,1
Congo (Democratic),4.245,0.845,3.634,-2.2,473,-2.2,1
Costa Rica,7.072,0.981,5.087,35.1,27,1,1
Croatia,5.321,0.99,6.5,19.9,8,1.5,1
Cyprus,5.762,0.979,3.388,17.9,6,0.5,1
Czech Republic,6.711,0.985,5.8,20,3,1.4,1
Denmark,7.555,0.983,3.8,37.4,4,1.3,1
Dominican Republic,5.302,0.999,6.266,26.8,95,1.5,1
Ecuador,5.973,0.967,4.981,38,59,0.6,1
Egypt,4.419,0.882,5.052,14.9,37,0,1
El Salvador,6.167,0.975,10.136,32.1,46,-0.2,1
Estonia,5.739,1.017,8.7,26.7,9,1.6,1
Ethiopia,4.35,0.837,5.791,38.8,401,-1,1
Finland,7.632,0.99,5.4,42,3,1.6,1
France,6.489,0.987,6.1,25.8,8,0.7,1
Gabon,4.758,0.916,4.674,17.1,252,-0.8,1
Georgia,4.34,0.98,9.658,16,25,0.5,1
Germany,6.965,0.972,4.7,37,7,-0.1,1
Ghana,4.657,0.911,3.834,12.7,308,-0.2,1
Greece,5.358,0.963,5.1,18.3,3,-0.6,1
Guatemala,6.382,0.941,5.675,12.7,95,-0.3,0
Guinea,3.964,0.817,1.972,21.9,576,-2.8,1
Haiti,3.582,0.875,5.688,2.5,480,-1.4,1
Honduras,5.504,0.978,4.857,21.1,65,0.9,1
Hungary,5.62,0.981,6.9,10.1,12,0.6,1
Iceland,7.495,0.969,3.2,47.6,4,2.2,1
India,4.19,0.82,2.775,11.8,145,0.9,1
Indonesia,5.093,0.94,4.092,19.8,177,0.2,1
Iran,4.707,0.866,5.572,5.9,16,-0.4,0
Iraq,4.456,0.774,3.734,25.3,79,-1.8,1
Ireland,6.977,0.981,3.7,22.2,5,0.2,1
Israel,6.814,0.973,3.9,27.5,3,1.2,1
Italy,6,0.968,4.4,31,2,0.6,1
Ivory Coast,4.671,0.811,2.094,10.6,617,-1.9,1
Jamaica,5.89,0.994,4.208,17.5,80,1.5,0
Japan,5.915,0.978,6.07,9.3,5,-0.1,1
Jordan,5.161,0.875,4.495,15.4,46,0.5,0
Kazakhstan,5.79,0.98,8.35,27.1,10,0.7,1
Kenya,4.41,0.937,4.87,21.8,342,-0.7,1
Kuwait,6.083,0.983,4.049,3.1,12,2,0
Kyrgyzstan,5.131,0.957,8.2,19.2,60,0.5,1
Laos,4.623,0.927,3.779,27.5,185,-0.6,1
Latvia,5.933,1.036,9.6,16,19,1.3,1
