Data Source,World Development Indicators,,,
Country Name,Country Code,Indicator Name,Indicator Code,2018
Aruba,ABW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.096
Africa Eastern and Southern,AFE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,60.90518123
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.923
Africa Western and Central,AFW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,56.27181247
Angola,AGO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.582
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,77.037
Andorra,AND,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,
Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.60939621
United Arab Emirates,ARE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,78.028
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.631
Armenia,ARM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.992
American Samoa,ASM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,
Antigua and Barbuda,ATG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75.724
Australia,AUS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80.7
Austria,AUT,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.4
Azerbaijan,AZE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.693
Burundi,BDI,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.821
Belgium,BEL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,79.4
Benin,BEN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.916
Burkina Faso,BFA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,58.29
Bangladesh,BGD,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.889
Bulgaria,BGR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.5
Bahrain,BHR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,78.816
"Bahamas, The",BHS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.225
Bosnia and Herzegovina,BIH,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75.034
Belarus,BLR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.2
Belize,BLZ,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.84
Bermuda,BMU,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,77.92
Bolivia,BOL,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,65.279
Brazil,BRA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.956
Barbados,BRB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75.013
Brunei Darussalam,BRN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,72.668
Bhutan,BTN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,69.602
Botswana,BWA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.336
Central African Republic,CAF,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,52.285
Canada,CAN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,80
Central Europe and the Baltics,CEB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,73.3628914
